TradingDate,VIC,YEG
2015-01-30,20612.0,
2015-02-02,20483.0,
2015-02-03,20140.0,
2015-02-04,20140.0,
2015-02-05,20097.0,
2015-02-06,20140.0,
2015-02-09,20312.0,
2015-02-10,20269.0,
2015-02-11,20827.0,
2015-02-12,21471.0,
2015-02-13,21686.0,
2015-02-24,22115.0,
2015-02-25,21471.0,
2015-02-26,21428.0,
2015-02-27,21256.0,
2015-03-02,21428.0,
2015-03-03,22330.0,
2015-03-04,22115.0,
2015-03-05,21900.0,
2015-03-06,21428.0,
2015-03-09,21342.0,
2015-03-10,21342.0,
2015-03-11,21170.0,
2015-03-12,21299.0,
2015-03-13,21299.0,
2015-03-16,21127.0,
2015-03-17,21170.0,
2015-03-18,21170.0,
2015-03-19,21085.0,
2015-03-20,20870.0,
2015-03-23,20741.0,
2015-03-24,20741.0,
2015-03-25,20698.0,
2015-03-26,20397.0,
2015-03-27,20226.0,
2015-03-30,20011.0,
2015-03-31,20183.0,
2015-04-01,19753.0,
2015-04-02,19882.0,
2015-04-03,19796.0,
2015-04-06,19710.0,
2015-04-07,19839.0,
2015-04-08,19753.0,
2015-04-09,19796.0,
2015-04-10,20397.0,
2015-04-13,20870.0,
2015-04-14,20440.0,
2015-04-15,20397.0,
2015-04-16,20655.0,
2015-04-17,20956.0,
2015-04-20,20870.0,
2015-04-21,20827.0,
2015-04-22,20870.0,
2015-04-23,20956.0,
2015-04-24,20956.0,
2015-04-27,20870.0,
2015-05-04,20655.0,
2015-05-05,20956.0,
2015-05-06,20655.0,
2015-05-07,20870.0,
2015-05-08,20741.0,
2015-05-11,20612.0,
2015-05-12,20397.0,
2015-05-13,20397.0,
2015-05-14,20354.0,
2015-05-15,20183.0,
2015-05-18,19882.0,
2015-05-19,20011.0,
2015-05-20,20226.0,
2015-05-21,20269.0,
2015-05-22,20827.0,
2015-05-25,20698.0,
2015-05-26,20741.0,
2015-05-27,20655.0,
2015-05-28,20526.0,
2015-05-29,20397.0,
2015-06-01,20913.0,
2015-06-02,20655.0,
2015-06-03,20741.0,
2015-06-04,20956.0,
2015-06-05,20956.0,
2015-06-08,21042.0,
2015-06-09,21042.0,
2015-06-10,20870.0,
2015-06-11,21127.0,
2015-06-12,22330.0,
2015-06-15,21686.0,
2015-06-16,21686.0,
2015-06-17,21686.0,
2015-06-18,21686.0,
2015-06-19,21900.0,
2015-06-22,22115.0,
2015-06-23,22330.0,
2015-06-24,22545.0,
2015-06-25,22545.0,
2015-06-26,22330.0,
2015-06-29,23067.0,
2015-06-30,23500.0,
2015-07-01,23445.0,
2015-07-02,23716.0,
2015-07-03,24094.0,
2015-07-06,24094.0,
2015-07-07,23878.0,
2015-07-08,23500.0,
2015-07-09,23770.0,
2015-07-10,23932.0,
2015-07-13,23824.0,
2015-07-14,23770.0,
2015-07-15,23500.0,
2015-07-16,23121.0,
2015-07-17,23067.0,
2015-07-20,23013.0,
2015-07-21,23229.0,
2015-07-22,24040.0,
2015-07-23,23824.0,
2015-07-24,23662.0,
2015-07-27,23770.0,
2015-07-28,23662.0,
2015-07-29,23337.0,
2015-07-30,23283.0,
2015-07-31,23283.0,
2015-08-03,23283.0,
2015-08-04,23229.0,
2015-08-05,23337.0,
2015-08-06,23229.0,
2015-08-07,23229.0,
2015-08-10,23500.0,
2015-08-11,23608.0,
2015-08-12,23283.0,
2015-08-13,22959.0,
2015-08-14,22581.0,
2015-08-17,22149.0,
2015-08-18,22527.0,
2015-08-19,22041.0,
2015-08-20,21933.0,
2015-08-21,21663.0,
2015-08-24,21663.0,
2015-08-25,21663.0,
2015-08-26,21717.0,
2015-08-27,22149.0,
2015-08-28,22527.0,
2015-08-31,22419.0,
2015-09-01,22419.0,
2015-09-03,22203.0,
2015-09-04,22419.0,
2015-09-07,22473.0,
2015-09-08,22527.0,
